latitude,longitude,area_in_meters,confidence,full_plus_code,zone_id
-33.41463209,-70.56235266,169.4921,0.8177,47RFHCPQ+43RP,Z2
-33.40119292,-70.56057847,22.6764,0.7274,47RFHCXQ+GQF7,Z2
-33.3934919,-70.57893654,46.3225,0.69,47RFJC4C+JC46,Z2
-33.39438245,-70.56532073,6.6138,0.7258,47RFJC4M+6VVP,Z2
-33.39103967,-70.58658216,221.9256,0.8255,47RFJC57+H9MF,Z2
-33.39567487,-70.58415958,23.1188,0.7786,47RFJC38+P8P5,Z2
-33.39997936,-70.55074692,16.2122,0.7479,47RFJC2X+2P2R,Z2
-33.41215381,-70.56166845,21.1945,0.7814,47RFHCQQ+48PW,Z2
-33.40970455,-70.55766763,235.4596,0.8709,47RFHCRR+4W8W,Z2
-33.39140219,-70.59078921,142.3816,0.8648,47RFJC55+CMPW,Z2
-33.39005562,-70.55868327,101.6389,0.8408,47RFJC5R+XGGJ,Z2
-33.39159424,-70.58087664,8.1607,0.7276,47RFJC59+9J99,Z2
-33.41393979,-70.57976548,115.1969,0.8574,47RFHCPC+C3HG,Z2
-33.41445491,-70.5894316,413.9576,0.6648,47RFHCP6+668R,Z2
-33.41971296,-70.57407736,528.9464,0.8783,47RFHCJG+497G,Z2
-33.41743168,-70.58142608,50.622,0.6914,47RFHCM9+2CGM,Z2
-33.40729799,-70.59867514,268.4115,0.7865,47RFHCV2+3GP3,Z2
-33.39959678,-70.59669781,140.5759,0.7539,47RFJC23+5874,Z2
-33.41383746,-70.57590373,135.0357,0.8724,47RFHCPF+FJ9C,Z2
-33.41869485,-70.57622227,28.5883,0.6935,47RFHCJF+GGC9,Z2
-33.4006846,-70.55768393,64.4939,0.8002,47RFHCXR+PWGJ,Z2
-33.41803325,-70.58658145,221.1278,0.7604,47RFHCJ7+Q9MM,Z2
-33.40041867,-70.56194237,75.7641,0.7605,47RFHCXQ+R6M9,Z2
-33.41574599,-70.55243799,110.5377,0.8103,47RFHCMX+P235,Z2
-33.39978649,-70.5918273,266.2525,0.7082,47RFJC25+37MG,Z2
-33.39050443,-70.56564066,112.2218,0.7846,47RFJC5M+QPXV,Z2
-33.40898102,-70.55679258,161.7422,0.8275,47RFHCRV+C74P,Z2
-33.41314565,-70.59325584,55.3256,0.6679,47RFHCP4+PMX5,Z2
-33.40126237,-70.59239531,76.6214,0.8718,47RFHCX5+F2XF,Z2
