latitude,longitude,area_in_meters,confidence,full_plus_code,zone_id
-33.42278894,-70.60149861,583.4876,0.8254,47RFH9GX+VCJC,Z1
-33.42865442,-70.60452793,101.8426,0.8978,47RFH9CW+G5QR,Z1
-33.43411053,-70.61182648,337.5445,0.8695,47RFH98Q+973G,Z1
-33.44162363,-70.62839461,205.1971,0.9108,47RFH95C+9J53,Z1
-33.42687224,-70.61837113,288.3609,0.7707,47RFH9FJ+7M22,Z1
-33.43307399,-70.63773198,292.3546,0.8598,47RFH986+QWC4,Z1
-33.4392547,-70.6055411,77.644,0.8423,47RFH96V+7QWW,Z1
-33.44137786,-70.61962879,38.8453,0.6644,47RFH95J+C4XX,Z1
-33.42500092,-70.62016875,212.3512,0.7434,47RFH9FH+XWWW,Z1
-33.44446826,-70.61419197,33.4235,0.734,47RFH94P+6879,Z1
-33.43116415,-70.61357644,32.2463,0.8108,47RFH99P+GHMG,Z1
-33.42892585,-70.6265392,54.7236,0.6973,47RFH9CF+C9GW,Z1
-33.42845811,-70.62005362,254.406,0.8643,47RFH9CH+JX8M,Z1
-33.43067107,-70.62087506,190.7807,0.8075,47RFH99H+PJQ5,Z1
-33.44301614,-70.62284625,94.7521,0.8999,47RFH94G+QVR9,Z1
-33.43738878,-70.6284748,105.7482,0.9091,47RFH97C+2JRH,Z1
-33.44346003,-70.63064709,222.3223,0.8773,47RFH949+JP9F,Z1
-33.4413757,-70.60344576,18.0502,0.8221,47RFH95W+CJVW,Z1
-33.43698984,-70.63693271,411.9021,0.8371,47RFH977+664C,Z1
-33.43874698,-70.61913165,90.1454,0.7601,47RFH96J+G855,Z1
-33.43942022,-70.61406255,48.4481,0.796,47RFH96P+69M5,Z1
-33.44207897,-70.62494779,205.1879,0.8746,47RFH95G+527W,Z1
-33.43874861,-70.62587663,22.9464,0.6878,47RFH96F+GJ55,Z1
-33.44371865,-70.61621448,85.2565,0.7777,47RFH94M+GG76,Z1
-33.43480815,-70.61736863,201.8637,0.8071,47RFH98M+33CJ,Z1
-33.42594076,-70.62963536,89.8657,0.7712,47RFH9FC+J4H8,Z1
-33.43598907,-70.61777717,8.5976,0.7396,47RFH97J+JV5C,Z1
-33.43168821,-70.6090576,337.8846,0.7855,47RFH99R+89GC,Z1
-33.42743517,-70.60254179,13.3967,0.6818,47RFH9FW+2XGG,Z1
-33.44222548,-70.6207055,140.5927,0.869,47RFH95H+4P3V,Z1
-33.43746177,-70.61448753,26.2164,0.8005,47RFH97P+266F,Z1
-33.43856001,-70.63406981,73.8916,0.8577,47RFH968+H9FH,Z1
-33.42645871,-70.60665523,22.2004,0.6623,47RFH9FV+C89J,Z1
-33.43750118,-70.63741594,189.1111,0.8713,47RFH967+X2WW,Z1
-33.44465583,-70.62580821,86.051,0.8314,47RFH94F+4MPJ,Z1
-33.43754182,-70.62976409,331.4403,0.8886,47RFH96C+X3Q8,Z1
-33.42075539,-70.62091964,104.9924,0.825,47RFH9HH+MJWP,Z1
-33.43843421,-70.62936685,310.207,0.8299,47RFH96C+J7CM,Z1
-33.44420856,-70.61384888,140.2187,0.7998,47RFH94P+8F6Q,Z1
-33.43789847,-70.62555962,123.9032,0.7757,47RFH96F+RQW2,Z1
-33.43739178,-70.63809471,94.312,0.8652,47RFH976+2QR9,Z1
-33.43489161,-70.60173286,187.435,0.8359,47RFH98X+28R8,Z1
-33.4264952,-70.610774,243.5137,0.9044,47RFH9FQ+CM52,Z1
-33.43670789,-70.60374299,75.5364,0.8366,47RFH97W+8G6J,Z1
-33.42565521,-70.60741098,96.8549,0.6547,47RFH9FV+P2PQ,Z1
-33.43435335,-70.60402903,39.0138,0.8105,47RFH98W+795R,Z1
-33.42533707,-70.60758761,263.9617,0.8228,47RFH9FR+VX7C,Z1
-33.42933995,-70.6254686,19.7545,0.6925,47RFH9CF+7R7C,Z1
-33.43733024,-70.60877027,219.3998,0.8746,47RFH97R+3F9M,Z1
-33.4384741,-70.62083268,200.401,0.8526,47RFH96H+JM73,Z1
-33.4308566,-70.61766815,42.2631,0.7713,47RFH99J+MW4P,Z1
-33.42567023,-70.61640415,53.7867,0.8288,47RFH9FM+PCQ2,Z1
-33.42908263,-70.6110948,13.3994,0.6851,47RFH9CQ+9H6Q,Z1
-33.42321413,-70.60779548,429.3806,0.8015,47RFH9GR+PV8G,Z1
-33.42391118,-70.60084726,69.7693,0.6743,47RFH9GX+CMJH,Z1
-33.438388,-70.6269254,590.6633,0.842,47RFH96F+J6WF,Z1
-33.43062483,-70.62994317,305.5673,0.758,47RFH99C+Q235,Z1
-33.42046041,-70.60807802,137.563,0.7461,47RFH9HR+RQ7G,Z1
-33.43212302,-70.63968307,160.6019,0.8636,47RFH996+5442,Z1
-33.42511592,-70.61369556,807.9106,0.8161,47RFH9FP+XG38,Z1
-33.44451095,-70.62357653,527.635,0.9137,47RFH94G+5HVG,Z1
-33.43631971,-70.6275454,272.8402,0.9363,47RFH97C+FXG8,Z1
-33.43137387,-70.63770919,299.6959,0.7975,47RFH996+FW33,Z1
-33.44136162,-70.62517546,28.1715,0.6567,47RFH95F+FW4F,Z1
-33.44144045,-70.63958989,965.3357,0.9067,47RFH956+C5F6,Z1
-33.42921105,-70.60996376,558.3694,0.9409,47RFH9CR+827C,Z1
-33.43381016,-70.60095257,375.6608,0.9037,47RFH98X+FJFG,Z1
-33.43755593,-70.61706919,96.7511,0.7795,47RFH96M+X5FQ,Z1
-33.44420162,-70.62993816,108.4922,0.9028,47RFH94C+827X,Z1
-33.44482499,-70.60251955,15.0474,0.7253,47RFH94W+3XH3,Z1
-33.43835542,-70.60077736,118.993,0.8918,47RFH96X+MM5J,Z1
-33.43747778,-70.61671774,47.0457,0.6991,47RFH97M+283R,Z1
-33.42316933,-70.61131332,4.6566,0.6884,47RFH9GQ+PFM9,Z1
-33.44308887,-70.60409282,357.8278,0.86,47RFH94W+Q97C,Z1
-33.4320247,-70.63049785,81.0914,0.7501,47RFH999+5RR2,Z1
-33.44344552,-70.60683807,25.3939,0.7224,47RFH94V+J7F2,Z1
-33.43010604,-70.61694615,36.6882,0.653,47RFH99M+X63P,Z1
-33.43007526,-70.60503981,225.5794,0.8725,47RFH99V+XX8W,Z1
-33.44043652,-70.63735369,67.6328,0.8203,47RFH957+R3CG,Z1
-33.4294128,-70.62930566,303.1943,0.9081,47RFH9CC+67PC,Z1
-33.44040068,-70.620113,85.2177,0.8134,47RFH95H+RXJV,Z1
-33.43604727,-70.62610791,87.552,0.8804,47RFH97F+HHJ4,Z1
-33.42477699,-70.61318371,19.6907,0.714,47RFH9GP+3PPR,Z1
-33.43033244,-70.63600779,9.7671,0.6959,47RFH997+VH9Q,Z1
-33.43108105,-70.62917893,179.6988,0.7908,47RFH99C+H88M,Z1
-33.43824694,-70.60846515,202.6907,0.8073,47RFH96R+PJ32,Z1
-33.43106811,-70.63083582,263.1247,0.9053,47RFH999+HMF7,Z1
-33.42671231,-70.61640916,129.8954,0.671,47RFH9FM+8C8H,Z1
-33.42303694,-70.61587594,118.9008,0.8591,47RFH9GM+QJQH,Z1
-33.424711,-70.60329771,32.1093,0.7414,47RFH9GW+4M8F,Z1
-33.4347672,-70.63269365,487.7402,0.7756,47RFH988+3WV9,Z1
-33.43796438,-70.61929778,90.4298,0.8599,47RFH96J+R78F,Z1
-33.43438844,-70.61713438,509.2013,0.9032,47RFH98M+64XG,Z1
-33.42587303,-70.62072051,341.7521,0.9266,47RFH9FH+MP25,Z1
-33.4389718,-70.63410109,28.1625,0.7199,47RFH968+C965,Z1
-33.43949121,-70.60061575,309.7198,0.8859,47RFH96X+6Q27,Z1
-33.42213481,-70.60098953,124.0855,0.7378,47RFH9HX+4JRM,Z1
-33.42834038,-70.60044084,118.635,0.8519,47RFH9CX+MR79,Z1
-33.43392465,-70.61391461,274.1694,0.8284,47RFH98P+CCP4,Z1
-33.42717905,-70.61072873,416.8034,0.8964,47RFH9FQ+4PCW,Z1
-33.43049339,-70.63102989,45.3836,0.8295,47RFH999+RH56,Z1
-33.43331776,-70.60639841,264.9961,0.8226,47RFH98V+MCH7,Z1
-33.43700076,-70.63580669,404.6357,0.8184,47RFH977+5MWR,Z1
-33.43407665,-70.63229424,68.1344,0.774,47RFH989+938W,Z1
-33.44395153,-70.62196047,18.2332,0.7646,47RFH94H+C67V,Z1
-33.42813368,-70.62120802,687.742,0.8598,47RFH9CH+PGVM,Z1
-33.42987593,-70.63853926,40.7738,0.8216,47RFH9C6+2HWW,Z1
-33.43304029,-70.61025727,614.8216,0.8844,47RFH98Q+QVQ9,Z1
-33.4405693,-70.63312529,88.1425,0.828,47RFH958+QPH9,Z1
-33.4345505,-70.62327744,13.0172,0.6819,47RFH98G+5MHR,Z1
-33.43966438,-70.60169829,70.5599,0.7366,47RFH96X+48MG,Z1
-33.43185748,-70.61011578,842.8965,0.8923,47RFH99Q+7X2M,Z1
-33.43293771,-70.6067916,11.6002,0.7029,47RFH98V+R7GG,Z1
-33.43848409,-70.61365711,38.95,0.7381,47RFH96P+JG4Q,Z1
-33.42176214,-70.61223906,84.5924,0.8381,47RFH9HQ+74RF,Z1
-33.43934255,-70.61740765,664.5806,0.9145,47RFH96M+7289,Z1
-33.43395403,-70.60845864,101.3553,0.734,47RFH98R+CJ7V,Z1
-33.43675104,-70.62260441,61.3654,0.7566,47RFH97G+7XRW,Z1
-33.44104764,-70.62025469,91.588,0.8186,47RFH95H+HVQ5,Z1
-33.43919732,-70.60083706,125.7729,0.8316,47RFH96X+8MF2,Z1
-33.44032437,-70.62095279,41.9557,0.7664,47RFH95H+VJF4,Z1
-33.43752658,-70.61029316,24.902,0.7272,47RFH96Q+XVPW,Z1
-33.43858954,-70.61699736,122.8397,0.8992,47RFH96M+H66C,Z1
-33.43632495,-70.60198818,23.8646,0.79,47RFH97X+F6C3,Z1
-33.43374524,-70.6249849,19.4353,0.7036,47RFH98G+G223,Z1
-33.44206372,-70.60087717,12.4896,0.7319,47RFH95X+5JHH,Z1
-33.42873462,-70.62272093,262.4213,0.8778,47RFH9CG+GW2Q,Z1
-33.42606375,-70.61337087,90.0071,0.8083,47RFH9FP+HMCC,Z1
-33.42660626,-70.62000757,254.6362,0.7868,47RFH9FH+9X5Q,Z1
-33.43303222,-70.63221777,133.2582,0.8868,47RFH989+Q4MJ,Z1
-33.4371955,-70.6258896,68.371,0.7399,47RFH97F+4JH4,Z1
-33.43404027,-70.61608173,26.6995,0.7011,47RFH98M+9HM7,Z1
-33.43835877,-70.61799432,50.1032,0.7544,47RFH96J+MR2J,Z1
-33.43172758,-70.60259687,67.9292,0.856,47RFH99W+8X2X,Z1
-33.43688408,-70.62614005,110.1189,0.8951,47RFH97F+6GXP,Z1
-33.43916205,-70.61093188,85.4239,0.8168,47RFH96Q+8JPC,Z1
-33.43100485,-70.62873928,112.2649,0.6538,47RFH99C+HGRV,Z1
-33.43411634,-70.60897718,54.9909,0.6608,47RFH98R+9C28,Z1
-33.4390172,-70.61881011,76.0574,0.8244,47RFH96J+9FW6,Z1
-33.43236394,-70.63035635,50.2965,0.8127,47RFH999+3V2G,Z1
-33.43136061,-70.63492288,63.4499,0.6731,47RFH998+F24F,Z1
