latitude,longitude,area_in_meters,confidence,full_plus_code,zone_id
-33.45895607,-70.76323416,149.2021,0.9044,47RFG6RP+CP6P,Z5
-33.44818799,-70.76032048,21.4478,0.7705,47RFH62Q+PVFG,Z5
-33.46025529,-70.76095746,31.5701,0.756,47RFG6QQ+VJVM,Z5
-33.436916,-70.76958943,85.4366,0.8025,47RFH67J+65M6,Z5
-33.44228376,-70.77134984,88.1398,0.9069,47RFH65H+3FJQ,Z5
-33.45588417,-70.76065007,69.6865,0.8728,47RFG6VQ+JPXJ,Z5
-33.43772907,-70.76941529,59.1076,0.8547,47RFH66J+W64W,Z5
-33.45069442,-70.76634776,48.6125,0.8138,47RFG6XM+PFC9,Z5
-33.44633924,-70.76216282,14.1833,0.6563,47RFH63Q+F48H,Z5
-33.44592443,-70.77055193,149.7299,0.7701,47RFH63H+JQP3,Z5
-33.44749814,-70.76093361,21.7307,0.7662,47RFH63Q+2J42,Z5
-33.43015773,-70.76058578,138.6932,0.8873,47RFH69Q+WQMM,Z5
-33.45339964,-70.76879999,76.0716,0.7205,47RFG6WJ+JFW3,Z5
-33.44653696,-70.76092101,94.4496,0.8183,47RFH63Q+9JPG,Z5
-33.44566551,-70.76658615,118.343,0.761,47RFH63M+P9M6,Z5
-33.44035854,-70.76958657,119.2439,0.7031,47RFH65J+V53J,Z5
-33.45460367,-70.76510004,97.8508,0.7988,47RFG6WM+5X2X,Z5
-33.44033441,-70.77212795,161.41,0.8335,47RFH65H+V49Q,Z5
-33.4349556,-70.76533177,53.8669,0.7302,47RFH68M+2V7M,Z5
-33.44297118,-70.76248794,15.0221,0.7011,47RFH64Q+R263,Z5
-33.44799525,-70.77865343,43.9428,0.7451,47RFH62C+RG52,Z5
-33.45371116,-70.79852573,6.6853,0.7029,47RFG6W2+GH9C,Z5
-33.43941345,-70.76070936,48.1542,0.7406,47RFH66Q+6PMF,Z5
-33.4375976,-70.7669452,20.936,0.6839,47RFH66M+X675,Z5
-33.43648447,-70.77547271,105.6709,0.8739,47RFH67F+CR2Q,Z5
-33.44814792,-70.77153916,32.4302,0.8306,47RFH62H+P9W4,Z5
