latitude,longitude,area_in_meters,confidence,full_plus_code,zone_id
-33.45470403,-70.64238117,30.3172,0.7353,47RFG9W5+429X,Z4
-33.4411557,-70.65900177,9.8143,0.6887,47RFH85R+G9QQ,Z4
-33.45525557,-70.65349074,105.7111,0.833,47RFG8VW+VJRM,Z4
-33.43979471,-70.64809427,363.4298,0.8336,47RFH962+3QJ9,Z4
-33.43876836,-70.65667886,189.76,0.8068,47RFH86V+F8W7,Z4
-33.45576847,-70.64827414,720.5012,0.8341,47RFG9V2+MMX6,Z4
-33.45790349,-70.63570419,81.2785,0.8103,47RFG9R7+RPMV,Z4
-33.45342509,-70.64360118,42.5199,0.6921,47RFG9W4+JHCX,Z4
-33.44823812,-70.66243002,140.2415,0.8937,47RFH82Q+P24C,Z4
-33.45971866,-70.64023778,352.6262,0.8239,47RFG9R5+4W67,Z4
-33.43071196,-70.66809855,64.5591,0.8185,47RFH89J+PQ6H,Z4
-33.45741442,-70.63524108,138.805,0.8752,47RFG9V7+2WJF,Z4
-33.45380669,-70.65914509,125.301,0.698,47RFG8WR+F8HM,Z4
-33.446315,-70.66560047,27.6887,0.6988,47RFH83M+FQCH,Z4
-33.43307399,-70.63773198,292.3546,0.8598,47RFH986+QWC4,Z4
-33.45445167,-70.66848132,98.2599,0.7369,47RFG8WJ+6J6W,Z4
-33.44783576,-70.66527121,31.5926,0.8097,47RFH82M+VV9F,Z4
-33.43873117,-70.66368005,182.4447,0.8619,47RFH86P+GG4J,Z4
-33.44409372,-70.64223587,61.6739,0.779,47RFH945+9467,Z4
-33.45779546,-70.6379235,392.047,0.8173,47RFG9R6+VRP3,Z4
-33.44316788,-70.66231553,131.7006,0.8291,47RFH84Q+P3M9,Z4
-33.44499172,-70.66913967,7.3615,0.7093,47RFH84J+2858,Z4
-33.45315479,-70.64462733,15.3163,0.6869,47RFG9W4+P4QX,Z4
-33.44346003,-70.63064709,222.3223,0.8773,47RFH949+JP9F,Z4
-33.4452393,-70.64986815,88.0068,0.7667,47RFH932+W32C,Z4
-33.44413503,-70.66834281,75.5448,0.7782,47RFH84J+8MVC,Z4
-33.4435494,-70.65266925,163.6822,0.801,47RFH84W+HWP4,Z4
-33.43698984,-70.63693271,411.9021,0.8371,47RFH977+664C,Z4
-33.45552878,-70.63409109,452.2251,0.8956,47RFG9V8+Q9MR,Z4
-33.44762353,-70.6500067,264.7462,0.8972,47RFH82X+XX55,Z4
-33.45336006,-70.63971279,21.558,0.7075,47RFG9W6+M43C,Z4
-33.43783268,-70.64221643,92.1519,0.8207,47RFH965+V47J,Z4
-33.43749404,-70.66106159,290.7539,0.8729,47RFH87Q+2H46,Z4
-33.45272905,-70.63097492,145.2258,0.7249,47RFG9W9+WJ2X,Z4
-33.43025831,-70.64788359,3354.0431,0.9288,47RFH992+VRXP,Z4
-33.43893797,-70.66462063,78.7294,0.7581,47RFH86P+C5CC,Z4
-33.45571461,-70.65856179,112.7286,0.753,47RFG8VR+PH8C,Z4
-33.44615161,-70.66572817,244.336,0.7881,47RFH83M+GPJW,Z4
-33.43560187,-70.66780761,156.9617,0.8288,47RFH87J+QV4R,Z4
-33.4382503,-70.6608945,114.5834,0.8138,47RFH86Q+MJXV,Z4
-33.45538027,-70.65421362,404.1383,0.7863,47RFG8VW+R8VJ,Z4
-33.4490158,-70.66082401,88.9476,0.7789,47RFH82Q+9MV8,Z4
-33.44198874,-70.65696851,73.407,0.7736,47RFH85V+663C,Z4
-33.45348077,-70.63880198,128.5192,0.8933,47RFG9W6+JF4M,Z4
-33.45244763,-70.63044087,369.0998,0.9145,47RFG9X9+2RF5,Z4
-33.44715492,-70.65003283,79.1764,0.6855,47RFH83X+4XPX,Z4
-33.45795839,-70.63836902,9.9506,0.6824,47RFG9R6+RM6J,Z4
-33.45091897,-70.66901903,76.4704,0.8605,47RFG8XJ+J9Q7,Z4
-33.43856001,-70.63406981,73.8916,0.8577,47RFH968+H9FH,Z4
-33.43750118,-70.63741594,189.1111,0.8713,47RFH967+X2WW,Z4
-33.45804548,-70.64463206,300.8072,0.8289,47RFG9R4+Q4Q5,Z4
-33.43710329,-70.64461152,50.4929,0.6661,47RFH974+552V,Z4
-33.45110123,-70.63739727,489.4338,0.9404,47RFG9X7+H25V,Z4
-33.45652277,-70.66236915,654.6468,0.8632,47RFG8VQ+93R2,Z4
-33.45677214,-70.65174419,193.5721,0.8407,47RFG8VX+78R2,Z4
-33.43739178,-70.63809471,94.312,0.8652,47RFH976+2QR9,Z4
-33.43130764,-70.64916595,26.1168,0.6799,47RFH992+F8GP,Z4
-33.45035681,-70.64557116,56.3848,0.8699,47RFG9X3+VQ3P,Z4
-33.45185324,-70.66648194,148.5755,0.8633,47RFG8XM+7C2W,Z4
-33.44213217,-70.6684393,44.0913,0.6573,47RFH85J+4JVQ,Z4
-33.44124086,-70.65858432,196.261,0.8893,47RFH85R+GH37,Z4
-33.45467992,-70.65022623,181.9733,0.766,47RFG8WX+4WCX,Z4
-33.45679125,-70.63848244,109.2275,0.8412,47RFG9V6+7JJ8,Z4
-33.4302497,-70.66825201,45.83,0.733,47RFH89J+WM55,Z4
-33.45892376,-70.64075739,65.875,0.7732,47RFG9R5+CMQ5,Z4
-33.45281727,-70.63098039,149.3617,0.8266,47RFG9W9+VJC8,Z4
-33.44848819,-70.6696154,19.378,0.7288,47RFH82J+J52F,Z4
-33.43463847,-70.66929343,89.341,0.8177,47RFH88J+47WG,Z4
-33.43336426,-70.66712027,378.3756,0.8199,47RFH88M+M52C,Z4
-33.44727636,-70.64159901,6.4494,0.6722,47RFH935+39JX,Z4
-33.45831469,-70.63377411,38.865,0.7651,47RFG9R8+MFHC,Z4
-33.45976136,-70.65364347,325.2718,0.8268,47RFG8RW+3GXF,Z4
-33.45960784,-70.64210255,564.9011,0.8989,47RFG9R5+552P,Z4
-33.44692136,-70.64367274,195.797,0.7712,47RFH934+6GP3,Z4
-33.44640705,-70.66488551,151.4909,0.833,47RFH83P+C2QP,Z4
-33.44844421,-70.65726443,49.3246,0.8237,47RFH82V+J3H8,Z4
-33.44472061,-70.66224473,11.2267,0.6806,47RFH84Q+4462,Z4
-33.44334001,-70.66960913,42.088,0.7424,47RFH84J+M568,Z4
-33.43740396,-70.64974154,93.3239,0.7332,47RFH972+24JV,Z4
-33.43412223,-70.65919903,1613.7876,0.7968,47RFH88R+9834,Z4
-33.43604286,-70.66580558,90.0696,0.8839,47RFH87M+HMP6,Z4
-33.45668937,-70.63954773,129.3928,0.8184,47RFG9V6+85GF,Z4
-33.43212302,-70.63968307,160.6019,0.8636,47RFH996+5442,Z4
-33.43137387,-70.63770919,299.6959,0.7975,47RFH996+FW33,Z4
-33.44147365,-70.66715625,42.6993,0.7253,47RFH85M+C492,Z4
-33.44476613,-70.65817077,247.0011,0.8426,47RFH84R+3PW8,Z4
-33.44144045,-70.63958989,965.3357,0.9067,47RFH956+C5F6,Z4
-33.43053836,-70.65365624,52.8958,0.8392,47RFH89W+QGQC,Z4
-33.445484,-70.65052642,91.8207,0.6714,47RFH83X+RQ5J,Z4
-33.45276939,-70.64048035,40.8403,0.7237,47RFG9W5+VRR8,Z4
-33.44172249,-70.66836888,29.6755,0.7068,47RFH85J+8M62,Z4
-33.43011114,-70.64954751,14973.1109,0.9438,47RFH992+X54F,Z4
-33.45865694,-70.64003488,158.9006,0.7454,47RFG9R5+GXPQ,Z4
-33.43612807,-70.64605488,178.6624,0.8519,47RFH973+GHWR,Z4
-33.44952186,-70.66292128,146.8284,0.866,47RFH82P+5RW4,Z4
-33.45648407,-70.66447608,138.8918,0.779,47RFG8VP+C62Q,Z4
-33.43683936,-70.65546993,73.7286,0.7276,47RFH87V+7R6H,Z4
-33.43921877,-70.64537064,148.1266,0.8065,47RFH963+8V66,Z4
-33.44680532,-70.64312009,77.6166,0.8285,47RFH934+7QCJ,Z4
-33.44599137,-70.65582336,19.1735,0.6909,47RFH83V+JM38,Z4
-33.4320247,-70.63049785,81.0914,0.7501,47RFH999+5RR2,Z4
-33.43337131,-70.64015148,54.4915,0.785,47RFH985+MW52,Z4
-33.45475165,-70.64700323,233.6229,0.8693,47RFG9W3+35XX,Z4
-33.43149671,-70.66616178,42.2133,0.6601,47RFH89M+CG45,Z4
-33.44043652,-70.63735369,67.6328,0.8203,47RFH957+R3CG,Z4
-33.45902299,-70.65304879,63.4857,0.7712,47RFG8RW+9QW3,Z4
-33.45217651,-70.63637866,353.7742,0.8176,47RFG9X7+4CHX,Z4
-33.43134009,-70.6432131,110.6377,0.8527,47RFH994+FP76,Z4
-33.44474194,-70.66600667,72.6396,0.6681,47RFH84M+4H59,Z4
-33.45859533,-70.63230695,222.7514,0.784,47RFG9R9+H382,Z4
-33.43765725,-70.64250827,466.5114,0.739,47RFH964+WXQP,Z4
-33.45899406,-70.63146011,589.301,0.9011,47RFG9R9+CC37,Z4
-33.44371035,-70.66341757,748.7972,0.8762,47RFH84P+GJ8G,Z4
-33.4389587,-70.64150587,13.4003,0.6937,47RFH965+C99Q,Z4
-33.43033244,-70.63600779,9.7671,0.6959,47RFH997+VH9Q,Z4
-33.45692218,-70.64076041,52.472,0.722,47RFG9V5+6MQ4,Z4
-33.44223918,-70.6636764,73.7504,0.7685,47RFH85P+4G4F,Z4
-33.43516952,-70.65726311,64.5427,0.7563,47RFH87V+W3Q8,Z4
-33.43106811,-70.63083582,263.1247,0.9053,47RFH999+HMF7,Z4
-33.44344544,-70.66230364,13.4666,0.7307,47RFH84Q+J3G3,Z4
-33.4394509,-70.66777928,60.3343,0.859,47RFH86J+6V9R,Z4
-33.45396585,-70.65137362,294.0506,0.927,47RFG8WX+CF66,Z4
-33.43058535,-70.64302406,31.6502,0.7889,47RFH994+QQ9C,Z4
-33.4334248,-70.66166614,19.7353,0.7912,47RFH88Q+J8P4,Z4
-33.4347672,-70.63269365,487.7402,0.7756,47RFH988+3WV9,Z4
-33.45179817,-70.66261929,58.8549,0.7408,47RFG8XP+7XJ2,Z4
-33.45625517,-70.6313879,1055.7839,0.92,47RFG9V9+FCXP,Z4
-33.44193231,-70.66534167,141.3536,0.8537,47RFH85M+6VFJ,Z4
-33.44647986,-70.65851205,564.8141,0.895,47RFH83R+CH5W,Z4
-33.45626895,-70.66855525,50.8443,0.822,47RFG8VJ+FHW6,Z4
-33.45826281,-70.66413018,123.7032,0.877,47RFG8RP+M8XH,Z4
-33.44642611,-70.65762218,211.3981,0.9108,47RFH83R+CXCR,Z4
-33.44698457,-70.63733908,38.994,0.7362,47RFH937+633J,Z4
-33.43137204,-70.66437393,100.9232,0.8159,47RFH89P+F722,Z4
-33.44242467,-70.64923877,56.66,0.7033,47RFH952+28J3,Z4
-33.45735131,-70.65446394,182.8722,0.7654,47RFG8VW+363R,Z4
-33.4389718,-70.63410109,28.1625,0.7199,47RFH968+C965,Z4
-33.45923785,-70.63630576,13.2292,0.7683,47RFG9R7+8F4C,Z4
-33.43868991,-70.65461926,218.0494,0.8357,47RFH86W+G5CC,Z4
-33.43049339,-70.63102989,45.3836,0.8295,47RFH999+RH56,Z4
-33.45766873,-70.65059824,566.8173,0.8137,47RFG8RX+WQJ9,Z4
-33.45838061,-70.65441499,115.6742,0.8138,47RFG8RW+J6WP,Z4
